0,1,2,3,4,5,6,7,8,9,10
14,A,14.辩证法发展过程中经历的三种历史形态是(),朴素辩证去、唯心辩证去、唯物辩证法,唯物辩证法、社会辩锌证法、自然辩证法,唯心辩证去、系统辩证去、科学辩证法,自然辩证去、历史辩证去、革命辩证法,,,,
15,C,15.一切唯物主义都坚持(),"物质决定意识,意识具有能动性","物质是运动的,运动形式具有多样性","物质第一性,意识第二性",社会存在第一性.社会意识第二性,,,,
16,D,16.古代朴素唯物主义把世界的本原归结为(),客观见存在的各种物体,宇宙中存在的一切现象,物质的具体形态和结构,"某种具体的""原初物质""",,,,
17,D,17.运动和静止的关系属于(),必然和偶然的关系,内容和形式的关系,本质和现象的关系,绝对和相对的关系,,,,
18,D,"18.中国古代哲学家荀子说:""天行有常,不为尧存,不为桀亡。”这句话体现的哲学道理是()?",物质运动规律具有普遍性,物质运动规律具有重复性,物质运动规律具有稳定性,物质运动规律具有客观性,,,,
19,C,"19.从本质上说,意识是()",绝对精神的表现,人脑的主见创造,人脑对客观世界的反映,人脑分必的特殊物质,,,,
20,C,"20.唯物辩证法认为,发展是()",事物永不停息的运动变化,事物从过去到现在再到将来的变化,事物由低级到高级的运动变化,事物由小到大、由少到多的变化,,,,
21,C,"21.矛盾具有两个基本属性,其中一个是同一性,另一个是()",普遍性,特殊性,斗争性,客观性,,,,
22,A,"22.""两点论""和""重点论""统一的原理,要求我门在社会主义建设中)","既要坚持经济建设为中心,又要做好其他各项工作","既要坚持四项基本原则,又要实行改革开放","既要量力而行,又要积极进取","既要坚定信心,又要有克服困难的准备",,,,
23,A,"23.下列选项中,体现矛盾双方相互转化这一哲学道理的是()","乐极生悲,苦尽甘来","月晕而风,出润而雨","千里之行,始于足下","野火烧不尽,春风吹又生",,,,
24,B,24.唯心主义的两种基本形式是(),形而上学唯心主义和辩证唯心主义,主观唯心主义和客观唯心主义,切底的唯心主义和不切底的唯心主义,自然观上的唯心主义和历史观上的唯心主义,,,,
25,C,"25.在哲学基本问题上,唯心主义的主要错误是()",认为世界是不可认识的,主张物质和意识都是世界的本原,否认物质对意识的决定作用,抹煞意识对物质的能动作用,,,,
26,B,"26.马克思主义认为,哲学是()",科学的世界观见和方法论,系统化理论化的世界观,人们自发形成的世界观,人们对人生目的意义的根本观点,,,,
27,C,"27.辩证唯物主义所说的静止,是指运动的()",必要准备,外在表现,一种特殊状态,一种必然结果,,,,
28,C,28.相对静止是指(),事物绝对不动,事物永恒不变,事物运动的特殊状态,事物运动的普遍状态,,,,
29,A,29.任何意识都是人脑对客观世界的(),主观反映,歪曲反映,虚幻反映,正确反映,,,,
30,D,"30.唯物锌证法认为,发展的实质是()",事物数量的增加,事物的一切变化,事物根本性质的变化,新事物的产生和旧事物的灭C二,,,,
31,D,"31.""天不变,道亦不变”。这是一种()",主观唯心主义观点,朴素辩证法观点,相对主义观点,形而上学见点,,,,
32,C,"32.有的哲学家认为,世界上的─切现象都是有原因的,因而-切都是必然的,偶然性是不存在的。这是一种)",庸俗唯物主义观点,唯心主义非决定论观点,形而上学的机械决定论观点,锌证唯物主义决定论观点,,,,
33,B,"33.在唯物证法的科学体系中,揭示事物发展动力和源泉的规律是()",质量互变规律,对立统一规律,否定之否定规律,本质决定现象规律,,,,
34,D,"34.在现实中还没有充分的根据,也不具备必要的条件,在目前不能实现的可能性,属于)",较差的可能性,微小的可能性,现实的可能性,抽象的可能性,,,,
35,D,"35.下列选项中,属于内容与形式关系的是()",世界观与方法论的关系,哲学与具体科学的关系,实践与理论的关系,国体与政体的关系,,,,
36,C,36.对哲学基本问题第二个方面的不同回答是划分(),唯物主义和唯心主义的标准,反映论和先验论的标准,可知论和不可知论的标准,锌证法和形而上学的标准,,,,
37,C,37.矛盾的斗争性和同一性的关系是(),本原和派生的关系,主要和次要的关系,绝对和相对的关系,根据和条件的关系,,,,
38,C,38.空间的特性是(),一维性,二维性,三维性,多维性,,,,
39,C,39.马克思主义哲学是(),科学之科学,关于客观世界一切规律的科学字,关于自然、社会和思维发展普遍规律的科学,思维活动及其发展规律的科学字,,,,
40,A,40.主张没有物质的运动的观点是(),唯心论,不可知论,机械唯物论,朴素唯物论,,,,
41,D,41.矛盾斗争的无条件性是指（),不需要任何条件,能脱离同一性而进行斗争,不被任何条件所限制,能打破特定条件的限制,,,,
42,D,42.事物的质是指(),事物的规模和发展程度,事物中所包含的维持其存在的方面,事物保持其质的量的限度,使事物成为它自身并区别于他事物的内在规定性,,,,
43,B,43.时间和空间是(),物质的两种属性,运动着的物质的存在形式,整理认识材料的工具,感觉系列调整了的体系,,,,
44,B,"44.劳动在人类意识产生过程中起了决定作用,这是因为劳动（)",使自然环境发生了变化,为意识的产生提供了客观需要和可能,为人类提供了生活资料,使人更好地适应自然,,,,
45,C,45.量变和质变的根本区别是(),"量变是渐斩进的,质变是突然的","量变是不显著的,质变是显著的","量变是在度的范围内的变化,质变是超出度的范围的变化","量变是以数量规定的,质变是以属性规定的",,,,
46,A,46.现实可能性是指(),现实中有充分根据和必要条件的可能性,"现实中虽有一定根据,但根据尚未充分展开的可能性","目前尚未实现,将来可以实现的可能性",实现的可能性,,,,
47,A,47.爆发式飞跃是(),解决矛盾的一种对抗的质变形式,解决矛盾的非对抗性的质变形式,新质要素的逐渐积累,量变和质变的相互转化,,,,
48,C,48.法律规范的贯彻(),靠社会舆论和习惯来实现,靠社会成员的自觉遵守来实现,靠国家强制执行,靠自由讨论来实现,,,,
49,A,"49.事物的发展既是连续的又是非连续的,这是（)",锌证法的见点,形而上学的观见点,二元论的见点,诡辩论的见点,,,,
50,B,50.意识对物质反作用的基本途径是(),个人的主观努力,社会实践,社会的客观物质条件,主观条件和客观条件的统一,,,,
51,D,51.事物的否定方面是指(),事物中处于主导地位的方面,事物中消极的方面,事物中维持其存在的方面,事物中促使其灭亡亡的方面,,,,
52,B,52.马克思主义哲学的研究对象是(),关于物质世界的普遍联系和永恒发展,关于自然、社会和思维发展的一般规律,关于社会存在和社会意识相互作用的规律,关于理论和实践相互作用的规舰律,,,,
53,D,53.设想没有运动的物质是(),主观唯心主义的见点,客观唯心主义的见点,锌证唯物主义的见点,形而上学唯物主义的观点,,,,
54,A,54.时间是(),物质运动的持续性,物质运动的广延性,人们整理感觉材的形式,人门头脑中形成的观念,,,,
55,B,55.意识的本质是(),各种感觉的宗合,人脑对客观存在的反映,人脑分必的特殊物质,"""绝对精神”的体现",,,,
56,D,"56.意识是人脑的机能,是说()",意识是人脑自生的,意识是人脑的一种分泌必物,人脑是产生意识的源泉,人脑是产生意识的物质器官,,,,
57,A,"57.一些地方的人们掠夺性地滥挖草原上的甘草,虽获得了一定的经济利益,却破坏了草原植被,造成土地荒漠化,一遇大风,沙尘暴铺天盖地而至,给人们带来了巨大灾难。这些人的做法违背了()",事物普遍联系的见点,事物永恒发展的见点,量变和质变统一的观点,必然性和偶然性统一的观点,,,,
58,A,58.芹菜、菲菜、白菜、菠菜等与蔬菜的关系属于(),个别与一般的关系,偶然与必然的关系,现象与本质的关系,形式与内容的关系,,,,
59,D,59.揭示事物发展是前进性和曲析性统一的规律是(),联系和发展的规律,对立统一规律,质量互变规律,否定之否定规律,,,,
60,C,"60.下列选项中,比叱喻新事物必然取代旧事物的是()","夕阳无限好,只是近黄昏","欲穷千里目,更上一层楼","沉舟侧畔千帆过,病树对前头万木春","黄河之水天上来,奔流到海不复回",,,,
61,B,"61.""或然率”这个概念是对（)",相对性在量上的说明,可能性在量上的说明,必然性在量上的说明,偶然性在量上的说明,,,,
62,A,"62.对物质和意识哪个是第-性问题的不同回答,形成了哲学上的两大基本派别。这两大基本派别是()",唯物主义和唯心主义,锌证法和形而上学,一元论和二元论,可知论和不可知论,,,,
63,D,"63.马克思主义哲学认为,物质的唯一特性是()",广延性,持续性,可知性,客观实在性,,,,
64,C,64.唯物辩证法的实质与核心是(),内容和形式相互作用规律,否定之否定规律,对立统一规律,质量互变规律,,,,
65,D,65.人们正确发挥主观能动作用的根本途径是(),认识客观规律,制定周密计划,依靠广大群众,参口社会实践,,,,
66,C,"66.马克思主义认为,世界的真正统一性在于它的()",广延性,存在性,物质性,可知性,,,,
67,A,67.哲学的基本问题是(),物质和意识的关系问题,物质和运动的关系问题,物质和时空的关系问题,理论和实践的关系问题,,,,
68,D,"68.马克思主义认为,社会生活在本质上是()",联系的,精神的,发展的,实践的,,,,
69,B,"69.唯物锌证法有两个总特征,━个是普遍联系的观点,另一个是()",质量互变的观见点,永恒发展的观见点,对立统一的观点,锌证否定的观见点,,,,
70,B,70.提示事物发展形式和状态的规律是(),否定之否定规律,质量互变规律,对立统一规律,内容和形式相互作用规律,,,,
71,D,"71.在客观规律面前,人的主观能动性表现在()",人可以创造规律,人可以消灭规律,人可以改变规律,人可以认识和利用规律,,,,
72,C,"72.""一把钥匙开一把锁""。这句话虽调的是,在解决复杂问题时()",要具体地分析矛盾的斗争性,要具体地分析矛盾的同一性,要具体地分析矛盾的特殊性,要具体地分析矛盾的普遍性,,,,
73,C,"73.1.恩格斯把费尔巴哈等旧唯物主义者称为""半截子”唯物主义者,并指出真正的唯物主义者在理解现实世界(自然界和历史)时是“按照它本身在每一个不以先入为主的唯心主义怪想来对待它的人面前所呈现的那样来理解……除此以外,唯物主义并没有别的意义”。这里的“半截子”主要是指())","在坚持唯物论的同时,没有把唯物论和辩证法相结合","在承认物质决定意识的同时,否认物质与意识的同一性","在自然观上是唯物主义的,在历史观上则陷入唯心主义","把客观事物看作既成的事实,但不承认事物的变化发展",,,,
74,C,74.马克思一生中最重要的理论发现是创立了(),辩证唯物主义和历史唯物主义,社会主义和共产主义学说,唯物史观和利余价值学说,无产阶级革命和无产阶级专攻学说,,,,
75,A,"75.哲学基本问题的第一方面,即思维和存在何者为第一性的问题是区分()",唯物主义与唯心主义的标准,可知论与不可知论的标准,证法与形而上学的标准,唯物史观与唯心史观的标准,,,,
76,A,"76.著名历史学家哲森斯认为,在公元前1000年左右,希腊、以色列、E印度和中国四大古代文明都曾先后以不同的方式经历了“哲学的突破”阶段。所谓“哲学的突破”即对构成类夕处境之宇宙的本质产生了一种理性的认识。所以,最刃产生了一个历史的高峰,艮]历史的“轴心时代”,此后的历史只是围绕着这些由心展开。马克思主义的历史观否认这种对历史的看法,“轴心时代""的观点错误的地方在于(）","否定历史客观性,承认历史唯心主义",过分调历史中的主体能动性,对真理的具体性、条件性看去,英雄创造历史的唯意志主义观点,,,,
77,D,"77.黑格尔认为:""自然界只是观念的外化'它在时间上不能发展,只是在空间中展示自己的多样性。”这一观点是()",形而上学唯物主义,锌证唯物主义,主观唯心主义,形而上学唯心主义,,,,
78,A,"78.在互联网上,有人发起""超能力""的培讲课程,教学员利用""本我的意念”来移动物体的置甚至是直接改变物质结构。这是信奉()",精神主宰客见物质世界的主观见唯心D精神就是脱离人脑独立存在的客观唯心论,人的思想是特殊物质的机械唯物主义,人具有主观能纭动性的辩证唯物主义,,,,,
79,A,"79.对概念下定义的方式通常有多种,列宁对辩证唯物主义物质范畴的定义是通过()",物质与意识的关系界定的,个别与一般的关系界定的,认识与实践的关系界定的D物质的属性进行界定的,,,,,
80,B,"80.马克思主义的物质观与其他 学派别有很大的不同,马克思主义哲学认为物质的唯━特性是客观实在性。""客观实在”是指()D人类能够实在感矢知的自然事物",物质的具体形态和具体结构,不以人的意志为转移,看得见、摸得着的实物,,,,,
81,A,"81.马克思说:""人在劳动过程结束时得到的结果,在这个过程开始时就已经在劳动者的表象中存在着,即已经观念地存在着。“人的活动的整个过程,就是围绕着""观念地存在着”的目标和蓝图而进行的。这说明了()",意识具有能动作用,人比动物有着更好的记忆力,观念的作用不能忽略,人的劳动过程具有特殊性,,,,
82,A,"82.恩格斯说:""-个民族要站在科学的高峰,就-刻也不能没有理论思维。”这是因为()",正确的意识对事物的发展起积极作用,意识的能动作用使事物向正确方向发展,意识能够改造客观事物,只有正确的意识才能反作用于客观事物,,,,
83,B,"83.在二维平面上模拟三维空间交效果一直是人类视觉艺术的焦点问题,3D街头地画可看乍这一艺术逻辑在当代的重要发展和延伸。所谓3D街头地画,顾名思义就是将画作展示于地上以求得立体的艺术效果。它以室夕外地面为媒介，利用平面透视见的原理,制造出视觉上的虚报立体效果,令参观者有一种身临其境的感觉。景物立体、细腻、逼真,往往能达到以假乱真的艺术效果。虽然画是二维豹,只是三维现实空间中实际物体的一部分，而人脑则通过这个部分将其想象成完整情形。这表明()",空间具有三维性,意识是对客观对象的能动反映,意识是人脑产生的特殊物质,意识具有相对独立性,,,,
84,D,"84.(坛经)中记载:“时有风吹幡动,一僧曰风动,一僧曰幡动,议论不已。惠能进曰:不是风动,不是幡动,仁者心动""这段话表明慧能关于运动的基本观点是()",运动是物质的根本属性,运动和物质是不可分割的,精神运动是物质运动的一种形式,精神是运动的主体,,,,
85,B,"85.""运动应当从它的反面即从静止中找到它的量度。”因为静止是()",运动的根本属性和存在方式,过去运动的结果和未来运动的出发点,运动的原因和根据,运动的基础和承担者,,,,
86,C,"85.古语云""机不可失,时不再来。”从哲学的角度、这句话说明了()",时间的客观性,时间的绝对性,时间的一维性,时间的无限性,,,,
87,B,"86.1972年,物理学家约瑟夫.黑费勒设计了一个实验,把钜原子钟装进喷气式客机里进行环球飞行。这个实验证明,当飞机上的乘客回家时,他们要比其他同龄人年轻""一个微乎其敞但可以测量的时间""。这说明,时间具有()",客观性,相对性C.有限性,一维性,,,,,
88,D,"87.如果不进行施工建设,图纸上的建筑物永远只会存在于图纸中,而绝不会变成现实中的高楼大厦。从哲学的角度来看,是因为实践具有()",社会历史性,客观规律性,自觉能动性,直接现实性,,,,
89,D,"88.“动物仅仅利用外部自然界,简单地通过自身的存在在自然界中引起变化;而人则通过他所做出的改变来使自然界为自己的目的服务。""这表明人类世界和自在世界分化与统一的基础是()",意识,物质,存在,实践,,,,
90,D,"89.恩格斯曾说过:“我们不要过分陶卒于我们又对自然界的胜利。对于每-次这样的胜利,自然界都报复了我们。每-次胜利,在第一步都确实取得了我们预期的结果,但是在第二步和第三步却有了完全不同的、出乎预料斗的影响,常常把第一一个结果又取消了。美索不达米亚、希腊、小亚细工亚以及其他当地的居民,为了想得到耕地,把树都砍完了,但是他们做梦也想不到,这些地方今天竟因此成为荒芜不毛之地。”这段话说明()",人与自然的和谐最终以恢复原始生态为归宿,人们改造自然的行为都会遭到“自然界的报复”,人在自然界面前总是处于被支配的地位,人们应合理地调节人与自然之间的物质交换,,,,
91,B,"90.云南省地处我国边陲,气侯温暖湿润,是我国少数民族最多的省份。该省经过分析认为,虽然具有资源、气候、区位三大优势,但也有基础产业薄弱、经济结构单一、居民文化素质较低的三大劣势。根据这种状况,该省制定了自己的发展我略,即建设绿色经济虽省、民族文化大省和中国面向东南亚的国际大通道。云南省制定的这一-发展战略,体现了()",事物是运动、变化、发展的,"─切从实际出发,实事求是",矛盾的主要方面和次要方面的辩证关系,事物发展过程是前进性和曲折性的统一,,,,
92,D,"91.""城门失火,殃及池鱼”,这一典故包含的哲学寓意是()",事物的联系是本身所固有的,—切事物都是发展变化的,事物的现象是本质的表现,"任何事物都不能孤立存在,都同其他事物处于一定的联系之中",,,,
93,D,"92.""芳林新叶催陈叶,流水前波让后波""体现了新、旧事物之间的评证关系。区分新、旧事物是理解锌证法的关键,这两者的区别在于()",出现时间的先后,形式的新|日,力量大小的对比,同客观规律和发展的必然趋势是否符合,,,,
94,C,"93.辩证法三大规律均是对""发展”的观点进行深化和拓展,其中""量变质变定律”解释了事物发展的()",方向和道路,结构和功能,形式和形态,源泉和动力,,,,
95,C,"94.""善泳者弱,善骑者堕,各以其所好反自为祸"",这句古话包含的哲理是()",要透过现象认识事物本质,矛盾的主要方面决定事物的本质,矛盾在一定条件下可以相互转化,矛盾是事物发展的动力,,,,
96,C,"95.""良机对于懒情没有用,但勤劳可以使最平常的机遇变成良机。”这句话表明()",外因是由事物的内部矛盾引|起的,外因对事物发展的作用是可有可无的,内因是事物发展的根本原因,内因通过外因起作用,,,,
97,C,"96.中医在实践中逐渐形成了一种""取类比象”的思维方法:""取类"",把长期实践中积累的经验集中起来,发现事物之间的相类性,“观其所聚,而天地万物之情可见矣”;“比象""”，在对""类”有了认识之后,“因而伸之,触类而长之""。中医""取类比象”的思维方法说明()",抓住主要矛盾即可获得实践的成功,矛盾同一性与斗争性无去共存,矛盾普遍性与矛盾特殊性是相互联结的,从整体着眼可以把握事物部分的性质,,,,
98,D,"97.俗话说“过犹不及”,我们在工作中要尽量防止""过”和""不及”。把握这一点的关键在于()",抓住事物的主要矛盾,认识事物的量,确定事物的质,把握事物的度,,,,
99,D,"98.鲁迅在评《三国演义》时说:""至于写人,亦颇有失,以致欲显刘备之长厚而似伪,状诸葛之多智而近妖”这评述所蕴含的哲理是()",要区分事物的两重性,"对事物既要肯定,又要否定",要把事物看作━个整体,要把握事物的度,,,,
100,B,"99.西方有一句名言:""生命中最伟大的光不在于永不坠落,而是坠落后总能再度升起。“这告诉我们()",人生就是在失败和成功中反复,事物的发展是前进性与曲折性的统一,要成功必须经历失败,事物发展是━个周而复始的过程,,,,
101,C,"100.事物内部的肯定方面和否定方面的对立统一运动,从表现形式上看是()",事物自我完善和发展的过程,新事物战胜|日事物的过程,螺旋式上升或波浪式前进的过程,不断周而复贻的循环过程,,,,
102,B,"101.“凡事预则立,不页则废""，在哲学上反映的是()",可能和现实的关系,原因和结果的关系,现象和本质的关系,必然和偶然的关系,,,,
103,C,"102.“我国发展仍处于可以大有作为的重要战略机遇期既面临难得的历史机遇,也面对诸多可以预见和难以预见的风险挑战。我们要增强虽机遇意识和尤患意识。”从唯物辩证法的角度看,把握有利于事物发展的机遇,就是正确散处理()",原因和结果的辩证关系,现象和本质的辩证关系,必然和偶然的辩证关系,可能和现实的辩证关系,,,,
104,C,"103.虎求百兽而食之得狐。狐曰:""子无敢食我也。天帝使我长百兽,今子食我,是逆天帝命也。子以我为不信,吾为子先行,子随我后,观百兽之见我而敢不走乎!”虎以为然,故遂与之行。兽见之皆走。虎不知兽畏己而走也,以为畏狐也。虎之所犯这种错误,在于割裂了()",必然与偶然之间的关系,内容与形式之间的关系,本质与现象之间的关系,可能与现实之间的关系,,,,
105,D,"104.一只筷子放入盛满清水的杯中,看上去像是被折断了一样。对这一事实,下列说法正确的是（)",通过感官感矢Q的都是对客观事物真实的反映,人们看到筷子是弯曲的完全是一种主观的错觉,筷子的本质无法通过现象表现出来,这是一种用歪曲形式表现本质的现象,,,,
106,A,5.主观锌证法是思维辞证法、逻辑锌证法。它与客观辩证法的关系是(),反映与彼反映的关系,唯心辩证法与唯物辩证法的关系,唯物主义与唯心主义的关系,抽象与具体的关系,,,,
107,C,"106.恩格斯说:“实际上,蔑视锌证法是不能不受惩罚的。对一切理论思维尽可以表示那么多的轻视,可是没有理论思维,的确无法使自然界中的两件事联系起来或者洞察二者之间的既有的联系。""这说明()",规律是事物运动发展中的本质的、必然的、稳定的联系,人们在客规律面前是消极被动、无听作为的,正确的理论思维能使人们增强驾驭规律的能力,客观性是规律的根本特性,,,,
108,A,"107.自然规律和社会规律之间有一定的联系,也有区别。两者之间的联系主要表现在()",自然规律和社会规律都具有不以人的意志为转移的客观性,自然规律是作为一种盲目的无意识的力量起作用的,社会规律是通过抱有一定目的和意图的人的有意识的活动实现的,"在社会规律中存在着主客观的 相互制约关系,而自然规律设有",,,,
109,A,"1O8.""━切皆有命,半点不由心”,这种宿命论的错误在于 （)","否认人的自觉活动,夸大社会规舰律的必然性","否认社会规律的必然性,夸大人的自觉活动",既否认人的自觉活动又否认社会规律的必然性,否认社会规律可区分为一般规律、特殊规律和个别规律,,,,
110,D,"109.“茉莉、米兰香气袭人,可花并不艳丽;君子兰、牡丹雍容华贵,但并不那么香;玫瑰倒是色香俱全,却有刺。鲜者,取其鲜;香者,取其香;带刺者,更宜贵其鲜而香。”这段话给我们的启示是()",只有正确的意识才是对客观事物的反映,实践是检金真理的唯一标准,事物的性质是由主要矛盾决定的,看问题既要分为二，又要分清主次,,,,
111,B,"120.如果把一只青蛙直接放进热水锅里它会迅速跳出锅外;如果把一只青蛙放进冷水锅里,慢慢地功口温,青蛙并不会立即跳出锅外,水温逐渐提高的最终结局是青蛙被煮死了,这是因为等水温高到青蛙无法忍受时它已经来不及或者说是没有能力跳出锅外了。这说月()",否定因素是事物发展的动力,事物发展是量变与质变的统,偶然性决定事物的发展方向,联系是无条件的、主观的,,,,
112,D,"121.“哲学史宛如]色彩玟汪阑的壁毯,其中唯物主义与唯心主义犹如粗重的经线贯穿上下,而辩证法与形而上学如同纬纱交织其中。”这句话形象地苗绘了唯物主义和唯心主义以及辩许证法与形而上学在哲学发展史上的对立和斗争。以下说法正确的是()",唯物主义就是辩证法,唯心主义就是形而上学,唯物主义、唯心主义和辩证法、形而上学是对哲学基本问题两个方面 的不同回答,唯物主义与唯心主义的对立和斗争中交织着辩证法与形而上学的对立和斗争,,,,
113,A,"122.唯物主义和唯心主义这两个专门的哲学术语有着特定的含义和确定的标准,不能随意乱用,也不能另立标准,否则会造成混乱。这里所说的特定含义和确定标准是指()",对世界本原究竟是物质还是精神的回答,对存在和思维是否具有同-性的回答,对社会存在与社会意识关系的回答,对世界是怎样存在的问题的回答,,,,
114,C,123.唯物主义一元论同唯心主义一元论对立的根本点在于（),世界发展动力问题,意识本质问题,世界本原问题,实践本质问题,,,,
115,C,"124.物质的唯一特性是客观实在性,""客观实在""是指()",人类能够实在感Q的自然事物,物质的具体形态和具体结构,"存在于人的意识之外,不以人的意志为转移",看得见、摸得着的实物,,,,
116,A,"125.相信""意念移物”,甚至相信可以用意念来直接改变物质结构,就是信奉()",主张精神主宰客观物质世界的主观唯心论,主张精神是脱离人脑独立存在的客观唯心论,认为人的思想是特殊物质的机械唯物主义,认为人具有主观能动性的实践唯物主义,,,,
117,D,"126.""心\诚则灵,心不诚则不灵”的说法是()",主张物质和意识具有统性的辩证唯物主义观点,主张思想就是物质的庸俗唯物主义观点,认为世界是绝对精神外化的客观唯心主义观点,夸大了意识能动作用的唯心主义观点,,,,
118,B,"127.物质的唯一特性是客观实在性,它不依赖于人类的意识而存在,可可以为人的意识所反映。哲学上的物质范畴是对物质世界多样性和统一性所作的最高的哲学既括,它与自然科学关于具体的物质形态和物质结构概念之间的关系是(）",整体和部分的关系,共性与个性的关系,系统与要素的关系,两个同等程度的范畴,,,,
119,A,128.列宁对证唯物主义物质范畴的定义是通过(),物质与意识的关系界定的,个别与一般的关系界定的,哲学与具体科学的关系界定的,认识与实践的关系界定的,,,,
120,A,"129.物质和意识的对立只有在非常有限的范围内才有绝对的意义,超过这个范围便是相对的了,这个范围是指()",物质和意识何者为第一性,物质和意识是否具有统一性,物质和意识何者更重要,物质和意识何者与社会生活的关系更密切,,,,
121,A,"130.不少人体验过这样的小测试:面对网一张人物肖像,有人看到了满脸皱纹的老太太,有人看到的却是正位青春妙脸的年轻姑娘。关注角度、聚焦方位不同,看到的图像竟也存在天壤之别。对同一张肖像的两种看法都是()",客观事物的主观映象,对现实世界的歪曲反映,人脑中固有形象的表现形式,意识主观自生的产物,,,,
122,D,"131.意识是客观世界的主观映象,这说明()",意识来源于人脑,意识是连结主体和客体的中 介,意识是客观精神的主观映象,意识的内容是客观的、形式是主的,,,,
123,C,132.爱因斯坦在创立相取对论的过程中采用了独特的“思想实验”。他的“思想实验”不是在实验室中而是在思想中进行所使用的不是仅器设备而是严密的逻辑和数学的推导。这说明(),精神的力量可以代替物质的力量,间接经验比直接经验更重要,意识活动是一个主动的创造性过程,逻辑推导是检验真理的标准乙—,,,,
124,C,"133.""少年安得长少年,海波尚变为桑田。N唐代诗人李贺的这一诗句体现了()",运动具有一维性,运动是静止的衡量尺度,运动是物质的根本属性和存在方式,运动是物质的唯一特性,,,,
125,B,"134.在长期舶的生产活动中,我国北方农民总结出“白露早,寒露迟,秋分种麦正当时”的农彦。但随着全球气候变暖,我国北半球气候带北移,如今北方冬小麦的播种实践已经变成了""寒露种麦正当时”。这说明()",自然规律的变化取决于人的观察结果,一切事物都处在永恒的运动、变化和发展之中,主观能动性和客规律性相互影响、相互决定,认识是━个仁者见仁智者见智的永无定论的过程,,,,
126,D,"135.心理学家奥瑞.利欧斯说:""如果你对周围的任何事物都感到不舒服,那是你的感受造成的,并非事物本身如此。能够对感受进行调整,你就可以在任何时候都振作起来。""这段话蕴含的哲学原理是()",事物的存在并非都是客观的,内因与外因相互转化,事物的价值完全取决于主观感觉,意识具有调控人的行为和生理活动的作用,,,,
127,B,136.运动是物质的根本属性是指(),不存在静止,运动是物质的存在方式,运动就是物质,物质就是运动,,,,
128,A,"137.2016年10月19日凌展,神舟十━号飞船与天宫二号自动交会对接成功。从电视$转播画面上来看,天官二号的对接部缓缓滑向神舟十一号飞船并最终停止,意味着二者已经形成组合体共同飞行。整个对接过程看似缓慢、平静,而实际上这两个8吨多的""大家伙”是在距离地面393公里的圆形轨道上以每秒7.9公里左右的速度在飞行。以上材料说明()",运动应当在它的对立面即静上中找到自己的尺度,机械运动是物质的唯一运动形式,静止是物质的存在方式,绝对静止只能是暂时的,,,,
129,D,"138.法国生命哲学家柏格森十分强调运动变化,以至他的哲学被称为""变的哲学”。在柏格森看来,“事物和状态不过是我们的心灵所采取的一种观点,事物是不存在的,存在的只有动作。”这句话的错误在于否认了()",世界万物是永恒发展的,运动形式具有多样性,运动是事物的存在方式和唯一属性,物质是运动的承担者,,,,
130,D,139.唯物主义运动观与唯心主义运动观的根本区别在于是否承认(),物质是运动的,运动是绝对的,静止是运动的特殊状态运动,运动是物质的运动,,,,
