0,1,2,3,4,5,6
65,B,"21.按照资本在剩余价值生产过程中的作用不同,可分为()",固定资本和流动资本,不变资本和可变资本,不变资本和流通资本,生产资本和商品资本
68,A,22.价值规律作用的表现形式是（),商品价格围绕价值波动,商品价格经常低于价值,商品价格总是等于价值,商品价格往往高于价值
71,D,23.商品价值量的大小是(),商品的交效用决定的,商品的供求关系决定的,生产商品的个别劳动时间决定的,生产商品的社会必要劳动时间决定的
75,C,24.商品的成本价格是(),C十^^,V十^^,C十- V,C十-V十^^
79,B,25.具体劳动和抽象劳动的关系是(),两种劳动,同一劳动过程的两个方面,两次劳动,二者毫无关系
82,C,26.生产价格形成的前提条件是(),剩余价值率的形成,利润率的形成,平均利润率的形成,超额利润的形成
85,D,"27.价值值过程不外是超过一定点而延长了的价值形式过程,这个一定点就是()",工人转移所消费的生产资料旧价值所斤需要的劳动时间,工人补偿劳动力价值所需要的劳动时间,工人创造商品全部新价值所需要的劳动时间,工人劳动转移所耗费的生产资科的日价值并补偿工人劳动力价值所需要的劳动时间
89,D,28.社会总产品的实现问题是指(),社会总产品在价值上是由不变资本价值、可可变资本价值和乘剩余价值组成,社会总产品按最终用途分为生产资料和消费资料,社会生产分为两大部类,社会总产品各部分的价值补偿和实物替换问题
92,A,"29.工资形式对资本主义“具有决定性的重要意义。这种表现开形式掩盖了现实关系,正好显示出它的反面。""资本主义工 资之所以掩盖了录剥削,是由于它()",表现为劳动的价格,是劳动者必要劳动创造的价值,是劳动力的价值,是劳动力的价值或价格的转化形式
95,B,30.资本主义经济危机是()的危机,生产绝对过剩,生产相对过剩,生产相对不足,生产绝对不足
98,B,31.布料与缝纫机在服装厂的劳动过程中所处的地位是(),二者都是劳动对象,"前者是劳动对象,后者是劳动资料",二者都是劳动资料,"后者是劳动对象,前者是劳动资料"
102,B,32.社会再生产过程的四个相互联系的环节是(),生产、运输、交换、消费,生产、分配、交换、消费,生产、运输、分配、消费,生产、流通、分配、消费
105,A,"33.在任何社会形态中,构成社会财富物质内容的是()",使用价值,货币,价值,商品
108,C,"34.在总和的或扩大的价值形式中,一种商品的价值表现在()",另━种商品上,货币上,其他一系列商品上,使用价值上
112,B,35.资本主义生产过程的二重性是指(),生产使用价值的劳动过程和生产价值的价值形成过程,生产使用价值的劳动过程和生产剩余价值的价值增殖过程,价值形成过程和价值增殖过程,转移价值的过程和创造价值的过程
116,C,36.在价值增殖过程中工人在剩余劳动时间内创造的价值用字母表示为(),√,V十^^,^,C十- V
119,C,37.能够划分为固定资本和流动资本的资本形态是(),商品资本,商业资本,生产资本,货币资本
122,C,38.社会总产品的补偿包括(),使用价值补偿和交换价值补偿,实物补偿和劳务补偿,价值补偿和实物补偿,有形补偿和无形补偿
126,A,39.平均利润率的形成是(),部门之间竞争的结果,部门内部各个企业之间竞争的结果,资本有机构成提高的结果,资本有机构成下降的结果
129,C,40.生产价格形成后(),各部门中各个企业之间利润率被平均化,各部门中每个企业的利润率会不再变化,各部门之间的利润率趋于平均化,各部门之间的利润率因此会被固定下来
132,C,41.价值是凝结在商品中的(),必要劳动,剩余劳动,抽象劳动,具体劳动
135,B,42.劳动力商品的使用价值的特殊性在于(),能使自身的价值转移,能创造价值和剩余价值,能转移资本的价值,能呆存资本的价值
138,D,"43.恩格斯指出:“只有通过竞争的波动,从而通过商品价格的波动,商品生产的价值规律才能得到贯切,社会必要劳动时间决定商品价值这一点才能成为现实。”下列对恩格斯这段话理解错误的是()","只有通过竞争和价格波动,由社会必要劳动时间决定的价值才能实现","只有通过竞争和价格波动,商品才能实现等价交换","只有通过竞争和价格波动,价值规律才能表现出来","只有通过竞争和价格波动,价值才能决定价格"
141,B,44.资本的周转时间是(),劳动时间口上流通时间,生产时间口上流通时间,生产时间口上购置时间,生产时间口上销售时间
144,B,45.商品使用价值和价值的关系是(),有使用价值的东西必有价值,价值的存在是以使用价值存在为前提,凡是存在价值的东西都不存在使用价值,使用价值的存在可以不以价值存在为前提
147,D,46.相对剩余价值的生是由于(),提高部门的劳动生产率,把工资降低到劳动力价值以下,减少剩余价值在工人创造的新价值中的比列,"缩短必要劳动时间,相应延长剩余劳动时间"
150,C,47.资本积累的源泉是(),资本集中,资本积聚,剩余价值,资本家省吃俭用
153,D,48.商品经济产生和存在的条件:(),自然经济的存在和发展,社会化大生产和资本主义私有制,社会化大生产和社会主义公有制,社会分工和生产资料和产品属于不同听有者
156,C,49.商品经济是:(),以自给自足为特征的经济形式,为他人而生产的经济形式,直接以交换为目的的经济形式,存在于一切社会的经济形式
160,D,50.资本原始贻积累的实质是:(),"资本家靠自身勤劳致富,兴办资本主义企业","劳动者自愿脱离土地到城市做工,为资本家进行积累",资本家用经济手段诱使农民脱离土地成为雇佣劳动者,"通过暴力手段迫使劳动者与生产资科分离,把大量财富集中在资本家手中"
163,B,51.市场经济是:(),和商品经济相对应的一种经济形式,市场对资源配置起基础性作用的一种经济形式,有国家干预和调节的一种经济形式,属于社会基本制度范畴的-种经济形式
167,D,"52.马克思在研究商品时,之所以考察商品的使用价值,因为使用价值是:()",人类生存、发展的物质条件,构成财富的物质内容,满足人们需要的物质实体,商品交换价值的物质承担者
170,A,"53.马克思指出:""如果物没有用,那么其中包含的劳动也就没有用,不能算作劳动,因此()",价值的存在以物的有用性为前提,价值的存在与物的有用性互为前提,"只要物是有用的,它就有价值",物越是有用就越有价值
173,D,"54.生产商品的劳动分具体劳动和抽象劳动,其中具体劳动的作用是:()",创造新价值,创造剩余价值,创造必要价值,创造使用价值
175,D,"55.商品内在的使用价值和价值的矛盾,其完备的外在表现:()",商品和商品之间的对立,具体劳动和抽象劳动之间的对立,资本和劳动之间的对立,商品和货币之间的对立
178,D,"56.两种商品可以按一定比例相互交换的原因,在于他们:()",有不同的使用价值,都是具体劳动的产物,对人们有共同的交效应,在生产中都耗费了一般的人类劳动
181,D,"57.对""劳动是财富之父,土地是财富之母”这句话的正确解释是:()",劳动和土地都是价值的源泉,"劳动创造使用价值,土地形成价值","劳动是创造价值的外部条件,土地是价值的真正源泉",劳动必须和自然物相结合才能创造出物质财富
184,D,"58.形成商品价值量的劳动,是以()为尺度的",以抽象劳动为尺度,以私人劳动为尺度,以剩余劳动为尺度,以简单劳动为尺度
186,D,"59.社会必要劳动时间是指在现在的社会正常条件下,在社会平均的熟练程度和劳动强度下()",全社会听有部门的技术装备水平,全社会大多数部门的技术装备水平,某一生产部门内部的先进技术装备水平,某一生产部门内部的大多数产品已经达到的技术装备水平
189,A,"60.商品的价值量由生产商品的社会必要劳动时间决定,它是在:()",同一种商品的生产者之间的竞争中实现的,不同商品的生产者之间的竞争中实现的,商品的生产者和消费者之间的竞争中实现的,商品的生产者和销售者之间的竞争中实现的
191,D,61.商品生产者要获得更多收益必须使生产商品的:(),个别劳动时间等于倍的社会必要劳动时间,个别劳动时间等于社会必要劳动时间,个别劳动时间大于社会必要劳动时间,个别劳动时间小于社会必要劳动时间
194,D,"62.""我们从小麦的滋味中根本无法判断它是封建衣民生产 的,还是资本主义制度下农业工人生产的”。这说明()",使用价值是个历史的范畴,同一种物品的使用价值会随生产关系的变化而变化,有使用价值的物品一定是劳动产品,一种物品具有的使用价值并不反映生产关系的性质
197,D,63.简单商品经济的基本矛盾是(),脑力劳动和体力劳动的矛盾,具体劳动和抽象劳动的矛盾,简单劳动和复杂劳动的矛盾,私人劳动和社会劳动的矛盾
200,C,"64.个别劳动的社会性质,通过()",商品的有用性来体现,商品的广告传播来体现,商品的交换来体现,商品质量的鉴定来体现
203,D,65.价值规律调节社会劳动在各部门的分配是通过:(),价格始终同价值相等实现的,价格高于价值实现的,价格低于价值实现的,价格围绕价值上下波动实现的
206,C,66.理解马克思主义政治经济学的枢纽是:(),剩余价值学说,生产价格理论,劳动二重性理论,劳动力商品理论
208,B,67.马克思在劳动价值理论上的贡献在于:(),创立了劳动价值论,提出了劳动二重性原理,扩展了创造价值的劳动的内容和范围,提出了生产要素参与价值分配问题
211,D,68.劳动力成为商品是:(),—切社会经济制度共有的,简单商品经济的前提,自然经济转化为商品经济的决定性条件,货币转化为资本的决定性条件
214,C,69.劳动力商品的价值是由:(),劳动者为资本家创造的剩余价值决定的,劳动者的劳动强度和熟练程度决定的,生产劳动力商品的社会必要劳动时间决定的,劳动者劳动时间的长短决定的
217,D,"70.劳动力商品使用价值的重要特点是,随着其使用价值的消费:()",劳动力商品的价值会全部丧失,劳动力商品的价值会转移到新产品中,只会创造新的大于劳动力价值的价值,"会创造新价值,并且创造出大于劳动力价值的价值"
219,A,71.货币转化为资本的决定性条件是:(),劳动力成为商品,产资料可以买卖,一般等价物固定为货币,货币成为社会财富的一般代表
221,D,"72.在货币和资本的关系上,正确的论断是:()",货币本身就是资本,任何数量的货币都能成为资本,凡是用来购买生产资料的货币都是资本,"只有能带来剩余价值的货币,才是资本"
222,B,73.生产资本区分为不变资本和可变资本的依据是:(),资本不同部分的物质形态不同,资本不同部分在剩余价值生产过程中的作用不同,"不变资本不体现录剥削关系,可变资本体现录剥削关系",资本不同部分的价值周转方式不同
223,A,74.资本主义生产过程的二重性是指:(),生产使用价值的劳动过程和生产剩余价值的价值增殖过程,转移价值的过程和创造价值的过程,生产使用价值的劳动过程和生产价值的价值形成过程,价值形成过程和价值增殖过程
224,C,75.绝对剩余价值是:(),个别资本家改进技术、提高劳动生产率的结果,社会劳动生产率普遍提高的结果,"必要劳动时间不变,延长工作日的结果","工作日不变,缩短必要劳动时间的结果"
225,C,76.相对剩余价值的获得是靠:(),"延长工作日,增利余劳动时间的结果","工作日不变,增必要劳动时间获得的",全社会劳动生产率普遍提高的结果,个别企业提高劳动生产率的结果
226,A,77.由于提高劳动虽度而生产的剩余价值属于:(),绝对剩余价值,相对剩余价值,超额剩余价值,利润
227,D,78.利余价值率反映的是:(),不变资本价值的增殖程度,资本家的赚钱程度,固定资本价值的增殖程度,资本家对工人的剥削程度
228,D,79.资本主义基本经济规律是指:(),竞争和生产无政府状态的规律,价值规律,资本主义积累的一般规律,剩余价值规律
229,A,80.资本积累和资本主义扩大再生产的关系是:(),资本积累是资本主义扩大再生产的源泉,扩大再生产是资本积累的源泉,资本积累本身就是扩大再生厂-,扩大再生产与资本积累无内在联系
230,C,81.资本的技术构成是指在一定技术水平下:(),固定资本和流动资本的比例关系,所用资本和所费资本的比例关系,生产资料和劳动力的比例关系,厂房、设备和原材料的比例关系
231,D,82.资本的价值构成是指:(),生产资料和劳动力之间的比例,机器设备和原材料之间的比例,固定资本和流动资本之间的比例,不变资本和可变资本之间的比例
232,C,83.资本的有机构成是指:(),反映生产资料和劳动力比例关系的资本技术构成,反映不变资本和可变资本比例关系的资本价值构成,以技术构成为基础并反映其变化的资本价值构成,以价值构成为基础并反映其变化的资本技术构成
233,A,84.资本有机构成的提高意味着在不变资本和可变资本的比重中:(),不变资本的比重增大,可变资本的比重增大,不变资本和可变资本按相同的比列扩大,不变资本和可变资本按相同比例下降
234,D,85.资本主义相对过剩人口的产生是:(),人口繁殖过多过快的结果,工业吸收的人口绝对减少的结果,资本有机构成不变条件下资本积累的结果,资本有机构成不断提高条件下资本积累的结果
235,B,"86.社会必要劳动时是在现有的社会正常生产条件下,在社会平均劳动熟练程度和劳动强度下制造某种使用价值所需要的劳动时间,它是以()",具体劳动为尺度的,简单劳动为尺度的,复杂劳动为尺度的,个别劳动为尺度的
236,A,87.商品经济是通过商品货币关系实行等价交换的经济形式它的基本规律是(),价值规律,剩余价值规律,竞争规律,货币流通规律
237,D,"88.马克思说:""━切商品对它们的所有者是非使用价值,对它们的非所有者是使用价值。""这句话表明()",有使用价值的不一定有价值,商品的使用价值是对它的购买消费者而言的,商品所有者同时获得使用价值和价值,商品是使用价值和价值的对立统一
238,A,"89.如果部门劳动生产率下降,同一劳动在单位时间内创造的()","使用价值量减少,单位产品的 价值量增口","使用价值量减少,单位产品的 价值量减少>","价值量增加,单位产品的价值量增口","价值量减少,单位产品的价值量减少"
239,C,"90.商品内在的使用价值与价值的矛盾,其完备的外在表现是()",商品与商品之间的对立,私人劳动与社会劳动之间的对立,商品与货币之间的对立,资本与雇佣劳动之间的对立
240,D,"91.价值规律是商品经济的基本规律,它的作用是通过()",生产者之间的竞争实现的,消费者之间的竞争实现的,生产者和消费者之间的竞争实现的,价格机制、供求机制和竟争机制实现的
241,A,"92.在商品经济中,形成价值的抽象劳动的支出必须借助于()",具体劳动,剩余劳动,商品的生产形式,资本主义生产方式
242,A,"93.正确认识价值创造和财富生产的关系,关键是运用)",劳动二重性学说,资本有机构成学,剩余价值学说,平均利润学说
243,B,94.资本主义经济危机呈现出周期性的原因在于(),资本主义基本矛盾,资本主义基本矛盾运动的特点,资本主义的基本矛盾周期性,资本主义再生产的周期性
244,C,"95.下列实物形态的资本中,同时属于生产资本、不变资本和固定资本的是()",原料和燃科,辅助材料,机器设备,商业设施
245,D,96.产业资本划分为货币资本、生产资本、商品资本的依据是资本各个部分(),在价值增殖过程中的作用不同,价值周转方式不同,存在的物质形态不同,在循环中的职能不同
246,A,"97.美国采取权力制衡的组织形式,其中立法权属于()",国会,总统,最高法院,最高检察院
247,C,98.资本主义国家的选举的实质是(),资产阶级和无产阶级分权,"每个公民都能通过竞选参与政治活动,表达自己的愿望和要求",协调统治阶级内部利益关系和矛盾的重要措施,人民当家作主
248,D,99.资本主义政党制度的实质是(),允许工人阶级及其政党参与国家政攻治生活,允许马克思主义政党独立执攻,不受资本主义国家政权的资本主义性质制约,"资产阶级选择自己的国家管理者,实现其内部利益平衡的政治机制"
249,C,1O0.资产阶级意识形态的核心是(),文学、艺术和宗教,道德、伦理,政冶思想和法律思想,哲学、历史
250,B,101.交换价值表现为(),一种价值和另一种价值相交换的量的比例,一种使用价值和另一种使用价值相交换的量的比例,一种货币和另一种货币相交换的量的比例,一种劳动时间和另一种劳动时间相交换的量的比例
251,C,102.价值形式发展的正确顺序是(),一般的价值形式、总和的扩大的价值形式、简单的偶然的价值形式、货币价值形式,总和的广大的价值形式、简单的偶然的价值形式、一般的价值形式、货币价值形式,简单的偶然的价值形式、总和的扩大的价值形式、—般的价值形式、货币价值形式,简单的偶然的价值形式、一般的价值形式、总和的扩大的价值形式、货币价值形式
252,B,"1O3.在商店里,一台电视机标价2000元。货币执行的职能是（)",流通手段,价值尺度,支付手段,贮藏手段
253,D,104.资本原贻积累过程的实质是(),"资本家依靠自身勤劳积累,兴办资本主义企业","农民自愿出卖劳动力,为资本家生产剩余价值","资本家利用经济手段诱使农民脱离土地,成为雇用劳动力为资本家创造财富",资本家利用暴力手段使生产者和生产 资料相分离货币资本迅速集中在资本家手中
254,D,105.在资本主义价值增殖过程中(),"具体劳动创造出新价值,抽象劳动转移生产资料价值","抽象劳动创造出新的使用价值,具体劳动创造出新价值",具体劳动转移生产资料价值抽象劳动创造出相当于劳动力价值的新价值,"具体劳动转移生产资料价值,抽象劳动创造出大于劳动力价直的新价值"
255,D,"106.通过对资本主义扩大再生产的分析,可以看出资本积累的本质是()",资本家靠自己的劳动发家致富,资本家靠自己的节约发家致富,资本家靠自己的管理才能发家致富,资本家靠无偿占有的乘剩余价值转化为资本再获取更多的乘剩余价值而发家致富
256,C,"1O7.个别资本家首先采用新技术提高了劳动生产率,形成商品个别价值低于社会价值的部分是()",绝对剩余价值,相对剩余价值,超额剩余价值,剩余价值
257,D,"1O8.以货币为媒介的商品交换过程,实质上是()",物物交换过程,使用价值的交换过程,货币衡量商品的自然发展过程,商品生产者之间互换劳动的社会过程
258,A,109.劳动力商品的价值是由(),生产和再生产劳动力商品所需要的社会必要劳动时间决定的,生理、道德和社会因素决定的,无产阶级和资产阶级的力量对比决定的,劳动力自身生存和繁衍后代所需要的生活资料价值决定的
259,D,"110.马克思把商品转化货币称为""惊险的跳跃""。这个跳跃如果不成功,摔坏的不是商品,而是商品的所有者。这是因为只有商品变为货币()",货币才能转化为资本,价值才能转化为使用价值,抽象劳动才能转化为具体劳动,私人劳动才能转化为社会劳动
260,B,"111.在资本主义的商品生产过程中,土地、设备和原材料等生产资料的价值是借助于生产者的()",具体劳动而实现了价值增殖,具体劳动转移到新产品中,抽象劳动而实现了价值增殖,抽象劳动转移到新产品中
261,A,112.最鲜明体现资本主义国家实质的国家职能是(),政冶职能,经济职能,社会职能,对外交往职能
262,ACD,"1.关于所有制和所有权的关系,下列说法正确的是()",所有制是所有权的基础,所有权是所有制的基础,"所有决定着所有权,所有权是所有制的法律形态,它是反映着经系的意志关系",同一种听有制以有不同的听有权
263,ABCD,"2.价值是商品的本质属性,它是（)",凝结在商品中的抽象劳动,商品的社会属性,交换价值的基础,反映商品生产者之间的社会关系
264,CD,3.生产商品的劳动二重性是指（),个别劳动,社会劳动,具体劳动,抽象劳动
265,AB,"4.货币的本质通过它的职能体现出来,货币有多种职能,其中最基本的职是()",价值尺度,流通手段,支付手段,贮藏手段和世界货币
266,ABD,5.以下对马克思的劳动价值论的说法正确的是(),是对古典攻治经济学劳动价值论的批判、继承和发展,是剩余价值理论的基础,是研究价值分配的理论,为揭示资本主义生产方式的本质奠定了理论基础
267,ACD,6.简单商品经济中所包括的各种矛盾主要是(),使用价值和价值的矛盾,价值和交换价值的矛盾,具体劳动和抽象劳动的矛盾,私人劳动和社会劳动的矛盾
268,ABCD,7.使用价值、交换价值、价值三者之间的关系是(),使用价值是交换价值和价值的物质承担者,交换价值和价值寓于使用价值之中,价值是交换价值的基础和内容,交换价值是价值的表现形式
269,ABCD,"8.━切商品都包含着使用价值和价值二因素,商品是使用价值和价值的统一。这表明()","缺少使用价值和价值任何一方面,都不能成为商品",没有使用价值就没有价值,"有使用价值,但不是劳动产品,也不是商品","有使用价值,也是劳动产品,但只是供生产者自己消费,也不是裔品"
270,ABCD,9.影响市场上商品价格变化的规律有(),商品价值的变化,货币价值的变化,供求关系的变化,平均利润率的变化
271,ABC,1O.价值规律的内容和要求是（),商品的价值量由生产商品的社会必要劳动时间决定,商品交换以商品的价值量为基出,商品交换必须实行等价交换,价格围绕价值上下波动
272,ACD,11.具体劳动和抽象劳动的区别是(),"具体劳动是劳动的具体形式,抽象劳动是一般人类劳云动","具体劳动是体力劳动,抽象劳动是脑力劳动","具体劳动反映人与自然的关系,抽象劳动反映社会生产关系","具体劳动不是使用价值的唯一源泉,由象劳动是价值的唯一源泉"
273,CD,"12.在下列几种价值形式中,没有本质区别的两种形式是()",简单的或偶然的价值形式,扩大的价值形式,一般价值形式,货币形式
274,BCD,"13.价格受市场供求的影响,围绕价值上下波动,不是对价值规律作用的否定,而是价值规律作用的表现形式,这是因为()",商品交换都是按照价格与价值相一致的原则进行的,"从商品交换的总体看,价格总额与价值总额是相等的","从商品交换的较长时间看,价格与价值是趋于一致的","各种商品价格的波动,是以各自的价值为基础的"
275,AC,"14.在商品经济运行中,价值、价格、供求三者之间的关系是（)","价格受供求关系影响,围绕价值上下波动","价格受价值影响,随供求关系变化而变动","价格由价值决定,反映价值并反映供求关系","价格由价值决定,反映价值但不反映供求关系"
276,ABD,"15.在新的历史条件下,与马克思所处的时代相比,深化对创造价值的劳动的认识主要有()",劳动的科技含量和知识含量增加了,科技人员和管理人员的劳动在劳动总量中的比重增了,农业劳动已成为物质生产劳动的基本形式,在总的劳动消耗量中物化劳动的比重增而活劳动的比重相对减少了
277,C,16.价值规律发挥作用的表现形式有()A、价格围绕价值上下波动,价格围绕交换价值上下波动,价格围绕成本价格上下波动,市场价格围绕生产价格上下波动,
278,BC,17.单位商品的价值量和生产这种商品的(),劳动生产率成正比,社会必要劳动时间成正比,劳动生产率成反比,社会必要劳动时间成反比
279,ABCD,18.资本主义生产过程的结果是(),生产出新的使用价值,转移了生产资料的价值,再生产劳动力的价值,创造出剩余价值
280,ACD,19.劳动力商品的价值包括(),维持劳动者生存所需要的生活资料价值,劳动者维持生产所必需的生产资料价值,养育子女听需要的生活资料价值,劳动者的教育和培训费用
281,ABD,20.资本区分为不变资本和可变资本的意义在于(),进━步揭示了剩余价值的真正源泉,为计算剩余价值率提供了科学依据,为计算资本周转速度提供了依据,为平均利润、生产价格理论奠定了基础
282,AC,"21.在其他条件不变的情兄下,资本有机构成的提高会导致（)",相对过剩人口的形成,利润率的提高,可变资本在总资本中比例的降低,资本周转速度的咸缓
283,ABCD,22.绝对剩余价值生产和相对剩余价值生产的共同点(),都体现着资本家对工人的录剥削关系,邹延长了剩余劳动时间,都增加了剩余价值量,都提高了剩余价值率
284,ABCD,23.利余价值规律(),揭示资本主义生产的目的和达到目的的手段,反映资本主义生产的实质,在资本主义社会起主导作用,决定资本主义生产的主要方面和主要过程
285,AD,24.纺织厂的资本家购买的用于生产的棉花属于(),不变资本,固定资本,可变资本,流动资本
286,CD,25.资本主义劳动过程同其他劳动过程相比较体现出来的特点是(),创造新的使用价值,创造新的价值,"工人在资本家监督下劳动,他 们的劳动属于资本家",劳动产品归资本家所有
287,AC,26.反映资本家对工人的剥削程度的公式是(),剩余价值/可变资本,剩余价值/全部预付资本,剩余劳动时间/必要劳动时间,年剩余价值量/预付可变资本
288,ABD,27.马克思关于资本有机构成学说论证了(),相对过剩人口的形成,技术进步条件下生产资料生产的优先增长,平均利润率的形成,利润率的下降趋势
289,ABCD,28.资本积累规模的大小取决于(),对工人的剥哨削程度,预付资本量的大小丶,所用资本和所费资本之间的差额,劳动生产率的高低
290,BCD,"29.第二次世界大战后,发达资本主义国家工人工作日有所宿短()",对工人剥削程度有所咸轻,劳动生产率明显提高,必要劳动时间大为宿短,相对剩余价值成为主要剥削形式
291,AD,30.绝对剩余价值生产、相对剩余价值生产和超额剩余价值生产的(),绝对剩余价值生产是相对剩余价值生产的出发点,相对剩余价值生产是绝对剩余价值生产的出发点,超额剩余价值生产是绝对剩余价值生产的出发点,超额剩余价值生产是变相的相对剩余价值生产
292,AB,31.资本积累和扩大再生产的 客观必然性是由()A、社会再生产的规律决定的B、社会再生产的形式决定的,剩余价值规律决定的,竞争规律决定的,,
293,CD,32.下列现象掩盖资本主义剥削实质的是(CD),资本总是表现为一定的物,不变资本只是乘剩余价值生产的条件,资本主义利润是全部预付资本的产物,资本主义工资是工人全部劳动的报酬
294,BC,33.资本积累中资本有机构成的提高使资本对劳动力的需求日益相对减咸表现为(),"原有资本有机构成不变,追资本有机构成提高,资本对劳动力需求的绝对量增如,相对量减少","原有资本有机构成提高,出现机器排挤工人","原有资本和追加资本有机构成都提高,资本对劳动力需求的绝对量增,相对量减少","原有资本和追加资本有机构成都提高,资本对劳动力需求的绝对量和相对量都增口"
295,BC,34.资本主义工资之所以表现为劳动的价值或价格是因为（),工资被看做是全部劳动的报酬,"工人一般在提供了劳动之后,资本家才付工资C、工资依劳动时间长短而不同",工资依劳动交效率高低而不同,
296,ACD,35.剩余价值与利润这两个范畴之间的关系是(),利润是剩余价值的转化形式,剩余价值是利润的转化形式,剩余价值是利润的本质,利润掩盖了剩余价值的真正源泉
297,BCD,"36.资本主义积累过程总是伴随着资本有机构成提高,资本有机构成是高的直接后果是()",个别资本增大,对劳动力需求减少,产资料优先增长,平均利润率下降
298,ABC,37.资本主义基本矛盾主要表现在(),各个企业内部生产的有组织生和整个社会生产无政府状态之间的矛盾,社会生产无限扩大的趋势与有支付能力的需求相对狭小的矛盾,无产阶级与资产阶级之间的矛盾,生产社会化和生产资料资本主义私人占有形式之间的矛盾
299,ABCD,38.资本主义政冶制度(),建立在资本主义社会的经济基出之上,反映了资本主义社会的经济关系,反映了政治上占统治冶地位的资产阶级的要求,"作为上层建筑,为巩固和发展资本主义社会的经济基础提供政冶保_"
300,BC,39.资本主义国家的职能的两个基本方面是(),立法司法职能,对内职能,对外职能,行政职能
301,CD,"40.与奴隶制、封建制国家相比,资本主义国家()","政冶上对多数人实行民主,对少数人实行专政",代表绝大多数人的根本利益,政冶上要求形式上的自由民主、正义平等,经济上要求自由竞争、等价交换
