0,1,2,3,4,5,6
20,A,20.马克思主义哲学区别于|旧哲学的最显著特点是(),阶级性,实践性,革命性,科学性
21,A,21.马克思主义哲学按其本性来说是(),批判的、革命的,运云动的、发展的,时间的、客见的,科学的、真理的
22,C,22.马克思主义哲学产生的最主要的自然科学基础是(),机械力学、地质学,生物学和有机化学,细胞学说、能量守恒与转化定律、生物进化论,理论物理学、胚眙学、古生物学
23,D,23.马克思主义哲学的直接理论来源是(),古希腊罗马哲学,中世纪经院哲学,17、18世纪英法资产阶级哲学字,19世纪德国古典哲学
24,B,24.费尔巴哈的━个重要贡献就是在德国(),发展了历史唯物主义,恢复了唯物主义的权威,克服了|日唯物主义的局限,克服了唯心主义的错误
25,B,25.马克思的辩证法与黑格尔的辩证法在思维与存在谁是第一性的问题上(),基本一致,截然相反,完全一致,相互排斥
26,B,"26.马列主义,毛泽东思想,邓小平理论的精髓是()",对立统一规律,实事求是,能动的革命的反映论,为人民服务
27,B,27.第一次把自然、社会和精神描写为处在不断运动、变化和发展的过程中的哲学家是(),费尔巴哈,黑格尔,马克思,恩格斯
28,A,28.全部马克思主义学说的理论结论是(),科学社会主义,马克思主义哲学,马克思主义政冶经济学,无产阶级革命的学说
29,C,29.哲学为科学研究提供(),经验材料,理论结论,一般方法论,具体方法
30,A,30.马克思主义哲学与具体科学间的关系是(),普遍性和特殊性的关系,整体和部分的关系,理论与实践的关系,绝对真理和相对真理的关系
31,A,"31.羊选(2分)1984年1月3日,意大利人卡内柏给恩格所写信,请求他为即将在曰内瓦出版的饿《新纪元》周干归的创F刊号词,而且要求尽量用简短的字句来表述未来的社会主义纪元的基本思想,以区别于伟大诗人但丁的对|日纪元所作的""一些人统治,另一些人受苦难”的界定。恩格斯回答说,这就是:“代替那存在着阶级和阶级对立的资产阶级日社会的,将是这样一个联合体,在那里,每个人的自由发展是一切人的自由发展的条件。”这段话表明,马克思主义追求的根本价值目标是()",实现人的自由而全面的发展,建立━个自由、平等、博爱的理性王国,建立━个四海之内皆兄弟的大同世界,实现人类永恒不变的普适价值
32,B,"32.19世纪西欧三大先进思朝为马克思主义的创立提供了直接的理论来源,其中为马克思主义哲学思想提供直接理论来源的是()",近代欧洲哲学,德国古典哲学,古希腊哲学,英国经验论哲学
33,C,33.实现共产主义的现实阶级力量是指(),现代资产阶级;,现代知识分子;,现代工人阶级或无产阶级;,现代农民阶级。
34,ABC,"1.马克思主义延生于19世纪40年代,到那时,资本主义的发展已经经历过()","14世纪末至15世纪初,资本主义生产关系在西欧封建社会内部孕育","18世纪60年代至19世纪30年代末,资本主义工业革命推动资本主义社会生产力发展","多次经济危机,给资本主义世界造成极大破坏",垄断资本主义
35,BCD,"2.作为━个完整的科学体系,马克思主义理论体系的三个主要组成部分是()",马克思主义政冶学,马克思主义政冶经济学,科学社会主义,马克思主义哲学
36,BCD,3.作为马克思主义产生阶级基出的19世纪二大工人己义是（),巴黎公社,1831年和1834法国里昂工人两次起义,1838年在英国爆发的延续十余年的宪章运动,1844年德国西里西亚方织工人起义
37,ABC,4.马克思主义产生的直接理论渊源是(),德国古典哲学,英国古典政治经济学,法国英国的空想社会主义,法国启蒙思想
38,ABC,5.德国古典哲学的代表人物(),康德,黑格尔,费尔巴哈,笛卡尔
39,AB,6.资产阶级古典政冶经济学的代表人物(),亚当·斯密,大卫·李嘉图,马尔萨斯,西斯蒙
40,ABC,7.空想社会主义的最杰出的代表是(),昂利·圣西门,沙尔·傅立叶,罗伯特·欧文,托马斯·莫尔
41,BD,8.马克思恩格斯最重要的理论贡献是(),锌证法,劳动价值论,唯物史观,剩余价值学说
42,ABCD,9.马克思主义科学性与革命性可以概括为(),辩证唯物主义和历史唯物主义是马克思主义最根本的世界观和方法论,致力于实现最广大人民的根本利益是马克思主义最鲜明的政冶立场,"一切从实际出发,理论联系实际,实事求是,在实践中检验真理和发展真理是马 克思主义最重要理论品质",实现共产主义是马克思主义最崇高的社会理想
43,ABCD,"10.学习马克思主义理论,必须要分清()",那些是必须长期坚持的马克思主义基本原理,哪些是需要结合新的实际加以丰富发展的理论判断,哪些是必须破除的对马克思主义错误的、教条式的理解,哪些是必须澄清的付力在马克思主义名下的错误观点
44,ABD,"11.作为发展着的科学理论体系,马克思主义包括()",马克思恩格斯创立的马克思主义基本理论、基本观见点、基本方法,对马克思主义的继承和发展的列宁主义思想,人类所有的优秀思想成果,中国共产党推进马克思主义中国化的理论成果
45,ABC,"12.马克思主义的创立,是与自然科学的发展密切相关的。为锌证唯物主义的创立提供自然科学前提的成就是()",能量守恒与转化定律,田胞学说,生物进化论,相对论
46,ACD,13.马克思主义的当代价值表现在(),观见察当代世界的认识工具,解决当今世界金融危机的行动纲领,指引当代中国发展的行动指南,引领人类社会进步的科学真里
47,ABCD,14.马克思主义的人民性体现为(),为最广大人民利益而奋斗的社会目标,实现全人类解放的最高理想,人的自由的价值追求,人民至上的的政治立场
